air_date,season,episode_overall,episode_in_season,song,original_artist,genre,original_release_year,years_since_release,performed_by,is_cameo,duet_with,version_covered,rerun,video_id,video_url,video_source,video_title,video_views,video_seconds
2020-08-05,1,163,163,Moral of the Story,Ashe and Niall Horan,Pop,2019,1,Kelly Clarkson,no,,,no,VfdMq85aVHk,https://www.youtube.com/watch?v=VfdMq85aVHk,KC Videos archive,Kellyoke | Moral of the Story (Ashe),14000,99
2020-08-06,1,164,164,I'm Movin' On,Rascal Flatts,Country,2001,19,Kelly Clarkson,no,,,no,xth0hEEvDtc,https://www.youtube.com/watch?v=xth0hEEvDtc,KC Videos archive,Kellyoke | I'm Movin On (Rascal Flatts),87000,111
2020-08-10,1,165,165,Heartbreak Hotel,Elvis Presley,Jazz / Blues,1956,64,Kelly Clarkson,no,,,no,bx9z-IWY77I,https://www.youtube.com/watch?v=bx9z-IWY77I,KC Videos archive,Kellyoke | Heartbreak Hotel (Elvis Presley),81000,100
2020-08-11,1,166,166,Secret Garden,Bruce Springsteen,Rock,1995,25,Kelly Clarkson,no,,,no,5uh9kCGjM4Q,https://www.youtube.com/watch?v=5uh9kCGjM4Q,KC Videos archive,Kellyoke | Secret Garden (Bruce Springsteen),4600,105
2020-08-12,1,167,167,Always On My Mind,Willie Nelson,Country,1972,48,Kelly Clarkson,no,,,no,pbi9V8GRjg8,https://www.youtube.com/watch?v=pbi9V8GRjg8,KC Videos archive,Kellyoke | Always On My Mind (Willie Nelson),101000,104
2020-08-13,1,168,168,Say Something,A Great Big World featuring Christina Aguilera,Pop,2013,7,Kelly Clarkson,no,,,no,ObtnjPH__d0,https://www.youtube.com/watch?v=ObtnjPH__d0,KC Videos archive,Kellyoke | Say Something (A Great Big World ft. Christina Aguilera),119000,100
2020-08-17,1,169,169,I Don't Wanna Be You Anymore,Billie Eilish,Pop,,,Kelly Clarkson,no,,,no,e7Lm4pu6EjU,https://www.youtube.com/watch?v=e7Lm4pu6EjU,KC Videos archive,Kellyoke | idontwannabeyouanymore (Billie Eilish),19000,111
2020-08-18,1,170,170,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,R&B / Soul,1965,55,Kelly Clarkson,no,,,no,II8AZJ0emSU,https://www.youtube.com/watch?v=II8AZJ0emSU,KC Videos archive,Kellyoke | Can't Help Myself (Four Tops),84000,83
2020-08-19,1,171,171,These Boots Are Made for Walkin',Nancy Sinatra,Rock,1965,55,Kelly Clarkson,no,,,no,tTHlcuQ6nJ8,https://www.youtube.com/watch?v=tTHlcuQ6nJ8,KC Videos archive,Kellyoke | These Boots Are Made For Walking (Nancy Sinatra),19000,98
2020-08-20,1,172,172,Poison and Wine,The Civil Wars,Country,,,Kelly Clarkson,no,,,no,XdN_ykRk9Dw,https://www.youtube.com/watch?v=XdN_ykRk9Dw,KC Videos archive,Kellyoke | Poison & Wine (The Civil Wars),74000,120
2020-08-24,1,173,173,Don't Play That Song,Aretha Franklin,R&B / Soul,,,Kelly Clarkson,no,,,no,unExa2oVygk,https://www.youtube.com/watch?v=unExa2oVygk,KC Videos archive,Kellyoke | Don't Play That Song (Aretha Franklin),86000,107
2020-08-25,1,174,174,I Follow Rivers,Lykke Li,Pop,2011,9,Kelly Clarkson,no,,,no,cwJ90QtgZuc,https://www.youtube.com/watch?v=cwJ90QtgZuc,KC Videos archive,Kellyoke | I Follow Rivers (Lykke Li),5600,98
2020-08-26,1,175,175,Unbelievable,EMF,Rock,1990,30,Kelly Clarkson,no,,,no,1iVP25_TGcc,https://www.youtube.com/watch?v=1iVP25_TGcc,KC Videos archive,Kellyoke | Unbelievable (EMF),8200,90
2020-08-27,1,176,176,Exhale (Shoop Shoop),Whitney Houston,R&B / Soul,1995,25,Kelly Clarkson,no,,,no,ok5FwIyCDvQ,https://www.youtube.com/watch?v=ok5FwIyCDvQ,KC Videos archive,Kellyoke | Exhale (Shoop Shoop) (Whitney Houston),24000,118
2020-08-31,1,177,177,T-R-O-U-B-L-E,Travis Tritt,Rock,1975,45,Kelly Clarkson,no,,,no,EJ7YkDWhRCk,https://www.youtube.com/watch?v=EJ7YkDWhRCk,KC Videos archive,Kellyoke | T-R-O-U-B-L-E (Travis Tritt),86000,112
2020-09-01,1,178,178,I Saw the Light,Wynonna Judd,Country,1992,28,Kelly Clarkson,no,,,no,Hwv4BtGBsDk,https://www.youtube.com/watch?v=Hwv4BtGBsDk,KC Videos archive,Kellyoke | I Saw the Light (Wynonna Judd),20000,100
2020-09-02,1,179,179,I Heard It Through the Grapevine,Marvin Gaye,R&B / Soul,1967,53,Kelly Clarkson,no,,,no,zhZ9y5vEid8,https://www.youtube.com/watch?v=zhZ9y5vEid8,KC Videos archive,Kellyoke | I Heard It Through the Grapevine (Marvin Gaye),31000,102
2020-09-03,1,180,180,She's Country,Jason Aldean,Country,2008,12,Kelly Clarkson,no,,,no,nAbVNM_taNg,https://www.youtube.com/watch?v=nAbVNM_taNg,KC Videos archive,Kellyoke | She's Country (Jason Aldean),14000,95
2020-09-21,2,181,1,Classic Television theme songs,,,,,Kelly Clarkson,no,,,no,hH3ucwLncDw,https://www.youtube.com/watch?v=hH3ucwLncDw,KC Videos archive,Kellyoke | TV Theme Song Medley,38000,256
2020-09-22,2,182,2,Good as Hell,Lizzo,R&B / Soul,2016,4,Kelly Clarkson,no,,,no,QOb6oCTHZw0,https://www.youtube.com/watch?v=QOb6oCTHZw0,KC Videos archive,Kellyoke | Good As Hell (Lizzo),115000,105
2020-09-23,2,183,3,Adore You,Harry Styles,R&B / Soul,2019,1,Kelly Clarkson,no,,,no,XBOtxQ5KU1A,https://www.youtube.com/watch?v=XBOtxQ5KU1A,KC Videos archive,Kellyoke | Adore You (Harry Styles),29000,100
